Question,Correct Answer,Incorrect Answer
What year did World War II end?,1945,1950
What is the chemical symbol for water?,H2O,CO2
Mount Everest is located in which mountain range?,Himalayas,Andes
What year did World War II end?,1945,1950
Who discovered America in 1492?,Christopher Columbus,Ferdinand Magellan
Which continent is Egypt in?,Africa,Asia
What is the square root of 64?,8,6
"Which sport uses a bat, ball, and wicket?",Cricket,Baseball
What is the capital of France?,Paris,Rome
What language has the most native speakers?,Mandarin,Spanish
Which continent is Egypt in?,Africa,Asia
Which river flows through Baghdad?,Tigris,Euphrates
Which desert is the largest in the world?,Sahara,Gobi
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo
"Which sport uses a bat, ball, and wicket?",Cricket,Baseball
What planet is known as the Red Planet?,Mars,Jupiter
Who directed 'Jurassic Park'?,Steven Spielberg,James Cameron
What is the capital of Canada?,Ottawa,Toronto
Who was the first President of the United States?,George Washington,Thomas Jefferson
Which mammal can fly?,Bat,Flying squirrel
Who discovered penicillin?,Alexander Fleming,Marie Curie
What is the square root of 64?,8,6
What is the currency of Japan?,Yen,Won
Who was known as the Maid of Orléans?,Joan of Arc,Marie Antoinette
Which blood type is a universal donor?,O Negative,AB Positive
What is the capital of France?,Paris,Rome
What is the name of Han Solo's ship?,Millennium Falcon,X-Wing
What is the capital of Japan?,Tokyo,Kyoto
How many players are on a soccer team on the field?,11,12
Which country has won the most FIFA World Cups?,Brazil,Germany
Mount Everest is located in which mountain range?,Himalayas,Andes
What is the hardest natural substance on Earth?,Diamond,Gold
What planet is known as the Red Planet?,Mars,Jupiter
Which ancient civilization built the Machu Picchu?,Inca,Aztec
How many continents are there?,7,6
What color is chlorophyll?,Green,Blue
Which country does Greenland belong to?,Denmark,Iceland
"What instrument has keys, pedals, and strings?",Piano,Guitar
Which sport uses a puck?,Hockey,Soccer
Which country does Greenland belong to?,Denmark,Iceland
Which gas is most abundant in the Earth's atmosphere?,Nitrogen,Oxygen
What part of the cell contains DNA?,Nucleus,Cytoplasm
What is the smallest country in the world?,Vatican City,Monaco
Which vitamin is produced when exposed to sunlight?,Vitamin D,Vitamin C
Who discovered penicillin?,Alexander Fleming,Marie Curie
What is the chemical symbol for water?,H2O,CO2
What is the largest internal organ in the human body?,Liver,Lung
What is the chemical symbol for gold?,Au,Ag
Which ancient civilization built the Machu Picchu?,Inca,Aztec
Which movie features the quote 'I'll be back'?,The Terminator,Die Hard
Which ocean is the largest?,Pacific Ocean,Atlantic Ocean
Which sport uses a puck?,Hockey,Soccer
How many players are on a soccer team on the field?,11,12
What part of the cell contains DNA?,Nucleus,Cytoplasm
Which blood type is a universal donor?,O Negative,AB Positive
Which ocean is the largest?,Pacific Ocean,Atlantic Ocean
Who discovered America in 1492?,Christopher Columbus,Ferdinand Magellan
What is the currency of Japan?,Yen,Won
Who directed 'Jurassic Park'?,Steven Spielberg,James Cameron
Which movie features the quote 'I'll be back'?,The Terminator,Die Hard
What gas do plants absorb?,Carbon Dioxide,Oxygen
Which country has won the most FIFA World Cups?,Brazil,Germany
Where did the Industrial Revolution begin?,Great Britain,USA
What is the chemical symbol for gold?,Au,Ag
What is the largest internal organ in the human body?,Liver,Lung
Who played Iron Man in the Marvel Cinematic Universe?,Robert Downey Jr.,Chris Evans
Which insect has the most legs?,Millipede,Centipede
What gas do plants absorb?,Carbon Dioxide,Oxygen
Who played Iron Man in the Marvel Cinematic Universe?,Robert Downey Jr.,Chris Evans
Which vitamin is produced when exposed to sunlight?,Vitamin D,Vitamin C
Which mammal can fly?,Bat,Flying squirrel
What language has the most native speakers?,Mandarin,Spanish
Who was the first President of the United States?,George Washington,Thomas Jefferson
Where did the Industrial Revolution begin?,Great Britain,USA
What planet is known for its rings?,Saturn,Venus
"What instrument has keys, pedals, and strings?",Piano,Guitar
"In tennis, what’s the term for a score of zero?",Love,Nil
What is the capital of Japan?,Tokyo,Kyoto
How many continents are there?,7,6
Which insect has the most legs?,Millipede,Centipede
Which gas is most abundant in the Earth's atmosphere?,Nitrogen,Oxygen
Who voiced 'Dory' in Finding Nemo?,Ellen DeGeneres,Julia Roberts
How many bones are in the adult human body?,206,210
Who voiced 'Dory' in Finding Nemo?,Ellen DeGeneres,Julia Roberts
Which bird is known for mimicking sounds?,Parrot,Sparrow
What is the hardest natural substance on Earth?,Diamond,Gold
What is the boiling point of water?,100°C,90°C
What is the name of Han Solo's ship?,Millennium Falcon,X-Wing
"In tennis, what’s the term for a score of zero?",Love,Nil
Which river flows through Baghdad?,Tigris,Euphrates
What is the boiling point of water?,100°C,90°C
What planet is known for its rings?,Saturn,Venus
Which desert is the largest in the world?,Sahara,Gobi
Which bird is known for mimicking sounds?,Parrot,Sparrow
What color is chlorophyll?,Green,Blue
Who was known as the Maid of Orléans?,Joan of Arc,Marie Antoinette
What is the smallest country in the world?,Vatican City,Monaco
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo
What is the capital of Canada?,Ottawa,Toronto
How many bones are in the adult human body?,206,210
How many colors are there in a rainbow?,7,6
What kind of eclipse occurs when the Moon passes between the Sun and Earth?,Solar Eclipse,Lunar Eclipse
Which country gifted the Statue of Liberty to the USA?,France,England
Which planet has the most moons?,Saturn,Jupiter
Which blood type is known as the universal recipient?,AB Positive,O Negative
Which country gifted the Statue of Liberty to the USA?,France,England
What is the chemical symbol for oxygen?,O,Ox
What is the capital of Australia?,Canberra,Sydney
What is the main ingredient in guacamole?,Avocado,Tomato
How many wheels does a tricycle have?,3,4
Which famous scientist developed the theory of relativity?,Albert Einstein,Isaac Newton
What is the most widely consumed beverage in the world?,Tea,Coffee
Which country is known for inventing pizza?,Italy,France
Who invented the telephone?,Alexander Graham Bell,Thomas Edison
Which planet has the most moons?,Saturn,Jupiter
Which insect is known for producing honey?,Bee,Wasp
What is the largest planet in our solar system?,Jupiter,Saturn
Which animal is known for having a pouch?,Kangaroo,Koala
What kind of eclipse occurs when the Moon passes between the Sun and Earth?,Solar Eclipse,Lunar Eclipse
What is the freezing point of water?,0°C,32°C
Which country hosted the 2016 Summer Olympics?,Brazil,China
Which U.S. state is famous for Hollywood?,California,New York
What is the tallest mountain in the world?,Mount Everest,K2
What is the opposite of 'minimum'?,Maximum,Major
In what country would you find the city of Istanbul?,Turkey,Greece
What is the name of the fairy in Peter Pan?,Tinker Bell,Cinderella
Which famous artist cut off his own ear?,Vincent van Gogh,Pablo Picasso
What is the currency of the United Kingdom?,Pound Sterling,Euro
Which animal is known as the King of the Jungle?,Lion,Tiger
Who is the author of 'Romeo and Juliet'?,William Shakespeare,Charles Dickens
Which element has the atomic number 1?,Hydrogen,Helium
What is the chemical symbol for oxygen?,O,Ox
Which planet is known as the 'Morning Star'?,Venus,Mercury
Which animal is the largest mammal?,Blue Whale,Elephant
Who is the author of 'Romeo and Juliet'?,William Shakespeare,Charles Dickens
What is the freezing point of water?,0°C,32°C
Which famous landmark is in Paris?,Eiffel Tower,Colosseum
How many letters are there in the English alphabet?,26,24
Which month has the fewest days?,February,April
What is the longest river in the world?,Nile,Amazon
What is the process by which plants make their food?,Photosynthesis,Transpiration
How many wheels does a tricycle have?,3,4
Which animal is known for having a pouch?,Kangaroo,Koala
How many letters are there in the English alphabet?,26,24
What is the largest planet in our solar system?,Jupiter,Saturn
What is the capital of Australia?,Canberra,Sydney
What is the capital of Spain?,Madrid,Barcelona
What is the capital of Germany?,Berlin,Munich
What type of animal is a Komodo dragon?,Lizard,Crocodile
Which U.S. state is known as the Sunshine State?,Florida,California
What is the tallest mountain in the world?,Mount Everest,K2
What is the most widely consumed beverage in the world?,Tea,Coffee
Which animal is known as the King of the Jungle?,Lion,Tiger
Which blood type is known as the universal recipient?,AB Positive,O Negative
What is the name of Mickey Mouse’s dog?,Pluto,Goofy
Which bird is a symbol of peace?,Dove,Swan
Which famous artist cut off his own ear?,Vincent van Gogh,Pablo Picasso
Which element has the atomic number 1?,Hydrogen,Helium
What is the opposite of 'minimum'?,Maximum,Major
What is the main language spoken in Brazil?,Portuguese,Spanish
Which country hosted the 2016 Summer Olympics?,Brazil,China
How many days are there in a leap year?,366,365
Which famous landmark is in Paris?,Eiffel Tower,Colosseum
What type of animal is a Komodo dragon?,Lizard,Crocodile
What is the name of Mickey Mouse’s dog?,Pluto,Goofy
Which month has the fewest days?,February,April
How many colors are there in a rainbow?,7,6
What is the longest river in the world?,Nile,Amazon
What is the capital of Spain?,Madrid,Barcelona
Which continent has the most countries?,Africa,Asia
Which continent has the most countries?,Africa,Asia
How many sides does a hexagon have?,6,8
How many sides does a hexagon have?,6,8
In what country would you find the city of Istanbul?,Turkey,Greece
Which animal is the largest mammal?,Blue Whale,Elephant
What is the capital of Germany?,Berlin,Munich
What is the name of the fairy in Peter Pan?,Tinker Bell,Cinderella
Which insect is known for producing honey?,Bee,Wasp
What does a thermometer measure?,Temperature,Pressure
What is the most spoken language in the world?,English,Mandarin
Which bird is a symbol of peace?,Dove,Swan
What is the main ingredient in guacamole?,Avocado,Tomato
How many days are there in a leap year?,366,365
What is the most spoken language in the world?,English,Mandarin
Which country is known as the Land of the Rising Sun?,Japan,China
Which country is known for inventing pizza?,Italy,France
Which U.S. state is known as the Sunshine State?,Florida,California
What is the name of the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean
What does a thermometer measure?,Temperature,Pressure
Which country is known as the Land of the Rising Sun?,Japan,China
What is the name of the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean
Which U.S. state is famous for Hollywood?,California,New York
What is the currency of the United Kingdom?,Pound Sterling,Euro
Which planet is known as the 'Morning Star'?,Venus,Mercury
What is the process by which plants make their food?,Photosynthesis,Transpiration
Who invented the telephone?,Alexander Graham Bell,Thomas Edison
Which famous scientist developed the theory of relativity?,Albert Einstein,Isaac Newton
What is the main language spoken in Brazil?,Portuguese,Spanish
